А,1299
Б,1780
В,553
Г,1060
П,1886
Д,811
Е,108
Ё,2
О,845
Ж,423
Я,227
З,674
И,368
Й,4
К,2445
С,1913
Л,743
М,1367
R,550
Н,500
Р,612
Т,1060
У,287
Ф,204
Х,299
Ц,245
Ч,735
Ш,291
Щ,162
Э,238
Ю,148
A,3571
B,1103
C,2787
D,1180
E,1155
F,276
G,763
H,1199
I,403
J,95
K,259
L,1181
M,1943
N,938
O,938
P,3069
Q,46
S,2050
T,1583
U,167
V,208
W,104
X,188
Y,54
Z,242
